epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.432,3.19851,23.555,0.97025,0.30243,0.28713,0.13821,0.03188,3.24729,6.4897,0.88995,0.00052,0.00052,0.00052
2,418.294,3.31681,3.38156,0.9303,0.44373,0.27723,0.25237,0.05713,3.32971,4.96999,0.86231,0.00104951,0.00104951,0.00104951
3,623.739,3.26378,2.57233,0.91727,0.15909,0.0297,0.02305,0.00308,2.53452,1.84048,0.70439,0.00156832,0.00156832,0.00156832
4,829.854,3.27487,2.33024,0.94688,0.01619,0.0396,0.0116,0.00354,1.74099,2.42758,0.45958,0.0019406,0.0019406,0.0019406
5,1035.64,3.3975,2.07562,0.9349,0.24135,0.18812,0.10968,0.02057,3.32967,4.16192,0.87578,0.0019208,0.0019208,0.0019208
6,1244.87,3.23532,2.06296,0.92045,0.11107,0.08911,0.04894,0.01079,2.55987,2.99403,0.68892,0.001901,0.001901,0.001901
7,1452.18,3.02783,1.81921,0.8932,0.7643,0.11881,0.17845,0.04676,1.86457,1.42055,0.55803,0.0018812,0.0018812,0.0018812
8,1658.93,3.09546,1.90652,0.90558,0.61501,0.11881,0.14385,0.03367,2.96488,2.32582,0.76141,0.0018614,0.0018614,0.0018614
9,1865.64,3.20928,1.95775,0.91068,0.36843,0.15599,0.09797,0.02617,3.29368,2.28503,0.76807,0.0018416,0.0018416,0.0018416
10,2072.11,2.99495,1.89877,0.89599,0.37115,0.09901,0.0978,0.02435,3.7541,2.29572,0.83567,0.0018218,0.0018218,0.0018218
11,2279.11,3.09215,1.92749,0.88147,0.61679,0.38614,0.40242,0.11382,2.56489,2.62613,0.83525,0.001802,0.001802,0.001802
12,2487.21,2.90542,1.84538,0.88544,0.57656,0.45545,0.3971,0.12813,2.56183,1.42238,0.82515,0.0017822,0.0017822,0.0017822
13,2693.51,2.82416,1.63956,0.88624,0.65343,0.30693,0.3439,0.09037,2.84374,1.63636,0.82161,0.0017624,0.0017624,0.0017624
14,2900.31,2.72887,1.68446,0.88981,0.41873,0.26733,0.22882,0.06235,2.8222,1.69819,0.84566,0.0017426,0.0017426,0.0017426
15,3108.38,2.65313,1.51395,0.87913,0.61294,0.34496,0.40498,0.10814,2.59696,1.57901,0.82035,0.0017228,0.0017228,0.0017228
16,3314.32,2.74903,1.58168,0.86141,0.58052,0.34653,0.34887,0.09067,2.96247,1.68236,0.83211,0.001703,0.001703,0.001703
17,3519.73,2.63731,1.44936,0.87739,0.39003,0.12871,0.13205,0.03563,2.42688,3.2248,0.81141,0.0016832,0.0016832,0.0016832
18,3725.3,2.8982,1.71565,0.87606,0.52172,0.42124,0.45901,0.1414,2.48724,1.49585,0.80619,0.0016634,0.0016634,0.0016634
19,3930.26,2.78009,1.55446,0.88157,0.73121,0.30693,0.44645,0.13372,2.47374,1.8727,0.80441,0.0016436,0.0016436,0.0016436
20,4138.79,2.85065,1.57313,0.87873,0.66311,0.37624,0.44445,0.13915,2.33189,1.64396,0.79756,0.0016238,0.0016238,0.0016238
21,4343.63,2.67799,1.34892,0.86738,0.57489,0.3214,0.37012,0.10699,2.94683,1.57652,0.81593,0.001604,0.001604,0.001604
22,4548.16,2.67444,1.42789,0.87115,0.6428,0.40594,0.46453,0.13591,2.60713,1.26227,0.79957,0.0015842,0.0015842,0.0015842
23,4754.22,2.53422,1.35816,0.87568,0.76052,0.48515,0.58776,0.21299,2.36072,1.21677,0.7947,0.0015644,0.0015644,0.0015644
24,4960.39,2.49857,1.39845,0.84914,0.72224,0.49505,0.54274,0.17704,2.24215,1.3025,0.79693,0.0015446,0.0015446,0.0015446
25,5165.02,2.6777,1.39592,0.85999,0.65084,0.26733,0.3516,0.09329,2.74645,1.80854,0.83382,0.0015248,0.0015248,0.0015248
26,5370.02,2.53452,1.40573,0.84291,0.52931,0.31683,0.33306,0.09271,2.92875,1.53342,0.81688,0.001505,0.001505,0.001505
27,5574.65,2.6046,1.44805,0.85225,0.59927,0.39981,0.41141,0.13157,2.58539,1.41054,0.79986,0.0014852,0.0014852,0.0014852
28,5783.76,2.57569,1.40216,0.85744,0.65624,0.39604,0.47491,0.17763,2.32192,1.23573,0.80461,0.0014654,0.0014654,0.0014654
29,5989.66,2.49909,1.35613,0.86142,0.60135,0.42574,0.44743,0.14022,2.36974,1.41184,0.80236,0.0014456,0.0014456,0.0014456
30,6198.33,2.55433,1.26622,0.86563,0.69482,0.36073,0.48599,0.15878,2.4979,1.53191,0.80681,0.0014258,0.0014258,0.0014258
31,6407.92,2.43191,1.23348,0.86526,0.67644,0.39331,0.40308,0.14642,2.15415,1.35781,0.80812,0.001406,0.001406,0.001406
32,6612.98,2.50576,1.25833,0.866,0.77058,0.38614,0.54416,0.20801,2.16232,1.20214,0.79902,0.0013862,0.0013862,0.0013862
33,6820.03,2.51236,1.28634,0.8617,0.68063,0.45545,0.484,0.16252,2.59184,1.31892,0.79947,0.0013664,0.0013664,0.0013664
34,7025.78,2.55951,1.39739,0.85375,0.60236,0.40497,0.48199,0.16886,2.38078,1.23251,0.80942,0.0013466,0.0013466,0.0013466
35,7231.88,2.45999,1.2822,0.84106,0.574,0.44554,0.50755,0.1645,2.40722,1.29674,0.80638,0.0013268,0.0013268,0.0013268
36,7439.39,2.47743,1.22798,0.85741,0.67532,0.44554,0.59854,0.22246,1.96984,1.49078,0.79513,0.001307,0.001307,0.001307
37,7647.72,2.50984,1.27744,0.84849,0.74691,0.55518,0.6294,0.25568,2.05712,1.02972,0.7919,0.0012872,0.0012872,0.0012872
